[14/May/2020 15:40:18] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:18] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:21] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:21] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:24] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:24] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:27] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:39] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:40] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:48] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:48] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:49] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:49] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:49] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:49] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:49] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:49] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:50] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:50] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:50] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:50] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:50] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:50] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:51] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:51] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:51] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:52] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:52] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:53] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:53] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:53] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:53] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:53] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:53] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:53] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:54] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:54] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:54] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:54] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:54] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:54] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:54] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:54] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:55] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:55] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:55] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:55] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:55] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:55] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:55] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:55] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:56] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:56] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:56] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:57] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:57] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:57] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:57] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:57] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:57] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:40:57] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:58] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:40:58] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
